,_id,name,owner,tracks,id
126,{'$oid': '5730d2b788e15285dc1fd846'},Future Funk,a9e762ab6388b8c5d0f113d43f1ac437,"['6lO6GaCwoRBXpGqTPBAvwJ', '7ITdIemARn5IgI8SyEF2OY', '6UlRJnR5mYQrbq9mwv0zoi', '5oZpvURIWI6DAfLHzD0Q66', '7e2ShDnoz6SxafbDLgg7SC', '1VOmMPsDRT7ATvAdHlbWRB', '4lIXtZ88WmHcaSB0K3Vl5k', '54VFn5x6sxBU5OQ97GT8yH', '4IGmrZ2FwqxjRwGO7pSr8m', '690QOy4S10AKamg9utFnlt', '5yHX4bbdKZpRurPZfa4mh3', '1sVwoJ9c4mlhnJrjRfxEpl', '7h1Lsma6eJBABuiqPsrKf8', '04xNweuEbEoUdBgWdbr2DO', '2CODDR07GsJ6H5dOaUEUvG']",5730d2b788e15285dc1fd846
132,{'$oid': '5730d2b788e15285dc1fd84c'},Rock and Roll Will Never Die - The Classics,a9e762ab6388b8c5d0f113d43f1ac437,"['5on5Va9IhozFbHxcc9xGHX', '2ZE2A47zah0C3Ee2uVKDbT', '58RWYT5MGo8e4Y3WAZHh9g', '1t3mzpCfaMsEqL1Fbq46ST', '6jkNs6ZRiLjIk87MWmSGWu', '1W1GpfPujmgp2vQqcpUhtU', '4M6KXdzqkOfTpKOrBIqWx0', '6l9QcD0SY3M1HQmvqan6sS', '6V1bLBjSgfpRfzYHiWvg3B', '252pAlbltOjOcUux4dRtjp', '0RteYQqW1AOq3JNL0yMWYt', '5OuaAMBmGjjJMK7yXpaFAK', '1ntxpzIUbSsizvuAy6lTYY', '5JC4BHDEyREcHfPyOwEbEM', '02DurCgOvDdX0uKEjqcl3W', '0LN5gIsS5tQSmRzQrHSaTR', '38M64DZhoXKmKmm32mcqdI', '587P51HbZkZCjq9foest2V', '5YYBw3dte6eN0I5FTddYXe', '153NHo5ncbWeJdhgwNgCON', '3K9QlS0VCtkzUvo0HY75VE', '05Yv5shaMJ0SZ0HTKmrEYl', '0TzCim4sBQZ9N0AAG25lOM', '1BUTAQyk9QsdvRDghyMTC9', '2wvMC5EyaaYQwBfiwwY2xE', '672N8DGGTOLCOgWe0koX5g', '6gXrEUzibufX9xYPk3HD5p']",5730d2b788e15285dc1fd84c
133,{'$oid': '5730d2b788e15285dc1fd84d'},Bang Tha Box,a9e762ab6388b8c5d0f113d43f1ac437,"['0yPIRqv0Vjsz70EctgOqkI', '2NF70gqys3wStkr7qY4IsW', '6jIS9O0aGQVJ6dpolRTXv5', '3CEQatlLyxOjrU2yATNvnK', '3XNGqWvibzOmOX3BjkeEm5', '0g3nXrDKeeqEpl9S3EZy1F', '1umf7EwuBmL97Rwyc0yO2f', '3vVJ7Ge0Cg96V8rvWtnSKW', '2ATHj701avdjZ6Ala1Zsrt', '3g8EIcXh4s7y6ROC59YcKk', '7wNmJWKyopcyCsAxrjmviO', '549SvIOnXLspDAc5NoDoBQ', '0hqSnL0fB1roGCgFm4kQLm', '2BKMjvRiwoneErCw69VxBO', '24yJ6uMmUMaj8GEI5o81z0', '1YbqXALlxZotzCa9isHGss', '2mDlNnhoYuL8hzhcrVPLAH', '7GeieCvGFByiQTnOWw4cGB', '2umgPQIGgCSPaOySgarcTs', '32DQciPlOuqpWXhmwAgXVw', '3YnFHzaubbW275RHTt8Dh6', '4AeKhEhHfTE76DRj6dkM2f', '4Ps7ZJ2YJmQhmEpHhPZ5Pu']",5730d2b788e15285dc1fd84d
137,{'$oid': '5730d2b788e15285dc1fd851'},Bob's Rap Jams - Feb '15,a9e762ab6388b8c5d0f113d43f1ac437,"['1eG6v3whKB8o1GWOnC2A4n', '5DOR49R0fehoBmyNL8m4sN', '3SEd8nPd8MpGwk6ZZ8tk2j', '75UmTIQT5hJguc5HhyQbap', '5zps32cgFG2c43QFKTBdlo', '6q5vZHAzu2uSWu7qYKSse0', '2JMPCbXZC0UNx5VcMQoS6p', '4JNFp8hvOU9QfD6achbCMl', '72umswj0Jlu9EVT5uoL2hl', '1j6kDJttn6wbVyMaM42Nxm', '71ZDec3AWnupPTaQf1fUSD', '6p5abLu89ZSSpRQnbK9Wqs', '734xplxSpoW22U5OeeZcr8', '2tszsaDwdhbrkFAkxWWaHS', '2P6rNkU42GeYsUYc3rzZFQ', '2qd43OayNp1lLlrFMzCnmU', '6vSFlDhoPPAvaEBcUUBCWd', '2AgtAAjiqp06Uifjzp1K6t', '27Har4Jai5ktc37ptEkINv', '3ndumr5hw721OmT5opZ5Zl', '2iDjCLUOGhJtz5cPHljGVd', '6G4z7VHwhAJM9fewpIYp5i', '4skjUVooJWGQPBGwCjiNVG', '4xCuQcuFbzKlZbGi9J4DR3', '7zLUZyE6sNuU5pMRieg3at', '6jDAXF3rrI00Rxd8Yhpyje', '4S6gaCCsGzhdXl5AVXsML4', '76QLGx0NleOYqkDtL7HKIA', '5vIu19A3EEdHgFM4Cba6F4', '5duzWVPXF94ueiTqhRm34h', '0u74fCaxlmtwzSVIY5u0Ny', '0xg6InOcITbEBRzBcVC0Rc', '3XV9VrKB3FJOcEsNhCbdVD']",5730d2b788e15285dc1fd851
141,{'$oid': '5730d2b788e15285dc1fd855'},Damn Right I Got The Blues,a9e762ab6388b8c5d0f113d43f1ac437,"['1LEacXCo9v6TtcAiOpehWc', '5TKPckoJ1VPBlSwmd7ba6Q', '1y6NAGarwea5J4YELLPzI2', '1amH1FjaNDAaZVpHWzcztW', '5CU2rcRsBvWh6CeoYQBM5g', '5AQpbyFoQmkOVwmlhKN4ii', '6QFE0KgBhKt01IeA0NLpwE', '4htRmfD1DlMeuuxURDd3ub', '0mzAYqVbIwUmACHupysw3Q', '5zSNkS6wTNcyo1ggbH9wRC', '3tF5AEoePZ368JwIAAcYuj', '05oMNN5Rbv6rVqyFFG9uTl', '3E0VKSvZp76kvBU2WwwBul']",5730d2b788e15285dc1fd855
148,{'$oid': '5730d2b788e15285dc1fd85c'},Electro Party,a9e762ab6388b8c5d0f113d43f1ac437,"['1AWdTY4hPU1U5q5ceJ26yg', '35Vvxe03aJSwc6K1rjMrIp', '7LkFXCm3ppBwkf2IyQdw9W', '1Kr1MxPpKoOPwVjElhdFRC', '1htfXBi6akI5IHPt6gBvdu', '7Agbtmq5lBIfuudtoONNJG', '2krozzw4P9wkiObyWPsxNG', '6BMk3hHNQcGLskbYJqXwVr', '5MVD1qVUuwaAuoUS3TXJco', '5ng7WL456olgiw0s4DgjPG', '15Sc7mIHiwrLSwV5yIiTu2', '2PZVU9HQMSGgE11m9rhESM', '35aAY4EJTCzqcluZYuIpCM', '4NN0tWOn5P1YDJAPvhj3XR', '7uKcScNXuO3MWw6LowBjW1']",5730d2b788e15285dc1fd85c
149,{'$oid': '5730d2b788e15285dc1fd85d'},Motown,a9e762ab6388b8c5d0f113d43f1ac437,"['7Mu6XXQ6PHvMeVEMGN78Oi', '2gmWJA9oF4GD2Vw5QoRqu1', '0jHkgTtTaqg5LNCiYDQPUB', '1LeWIs2hP2r5yOQnVuYoI5', '6x2UZ23VnIoq84XbO14Qz1', '37soQoNhEEIrhhYgHWK1xU', '7GUEoLXXKjUOzpkYRDrZsz', '676Rf0qIOh2gKNEl9TnCOx', '75nf5UlYRkGtSNQzNvOwUz', '3496rr5XSGD6n1Z1OKXovb', '0JWeCKQU60BPmDkYFa9zN3', '4wQD0djo6Id4fQLQeRKQ6e', '1tqT6DhmsrtQgyCKUwotiw', '51rNR3jnXkoSN648KAXa1m', '16TnJhZYL0sSY3dyIWgBbE', '471yG3FpXwgKcbNlblZ1Yt', '49z0pIVGgHTpDJzWreBFS7', '1A8gqfrso63AC4XVW6DTTw', '5qPw12iOd2txlJlAvVCRBb', '6Ndauo9gCxNjTfklsFYS7b', '1yyJNEU2gWG6QiJkhPwrde', '2zF8ro2hX0aEYaqXQdEKW1', '5P4eB5GJ9uno8Q020iJjje', '6IppRUJEkE6g1x0uJiEaJp', '7gs18umrgrIpRlDQIzKhpH', '605dIOk2fnhJHg8SbgCYao', '6jWkZvd1URGktyTTwcpPpB']",5730d2b788e15285dc1fd85d
153,{'$oid': '5730d2b788e15285dc1fd861'},Nu-Smooth,a9e762ab6388b8c5d0f113d43f1ac437,"['3xhXKRGahWzcXF8rD5gUvd', '59RGplBQDruWM49wly4GWV', '61lFyRVNu2vvuZ2y8B4feb', '6wIBZCIbbZh6ACDkWC5TX7', '2JUo1SKFbGn4Gx89eU1lwO', '5FyxN3JAL3eemQ5LqzOh0F', '4V2F0DZrAXOWq9hkwMMG3x', '3Nseorafz0uxtBrzFMKEsy', '3BZcgCGGliPQP41gcNTPVW', '66uyb66fKneVGdAR2hoODA', '2s9kzdZs7yAPga6Q1F2Lpj', '7x6ev0H9OAmvuDnyuItBZS', '4330XmgVWlx98Y3Naswycg', '2vLwhcsvRd1f2ETft1kWDN', '5ogGs1yidqD8NzzfwVetwq', '6gk2V87atn7XaaAltdYsKd']",5730d2b788e15285dc1fd861
161,{'$oid': '5730d2b788e15285dc1fd869'},Pop Rocks - New Wave and Pop-Rock,a9e762ab6388b8c5d0f113d43f1ac437,"['6elQsFmZGwZU3upNQpJOx2', '02R9bZXporpbufvOKgf6At', '4HuQhZj7hd9sobgdFkxY8F', '1MDN8WFF2lKuCTwgKY4Ubp', '6FrQreMkVVur08rN8epbKJ', '7kYmHyIdJuHal551LnZuGC', '6KZkxkIhzDQ3Od4orQYY6G', '3LnVYROaDKBqUizUGu9sy6', '6l9gVPHFaUfigHEiWqSh45', '6KadgpnNdONyDAlDXfhcU0', '6RnhPvk4EBbOJVETOQtMA5', '5xDQhEvVjbMoy6ViNQxNeG', '65Z7fRcwn29IKCXpRS7CGk', '4lr8mubS2OpgJEOuPHx2rV', '6Ps348Q1xTh0yUDK8Htblb', '29SRvYOKbMLOZeOubNGtLb', '2sCSITKezB2fL38FeiejmD', '5vDX38WbPNbgSELSzrYQgT', '2RuQ9dNESJ1L612SFo0iqp', '3wEj6njz1GJnor5QNNIo5k', '2fXKyAyPrEa24c6PJyqznF', '3JZEdq5tLHFbSJqzPcf7dJ']",5730d2b788e15285dc1fd869
163,{'$oid': '5730d2b788e15285dc1fd86b'},Soul Holler,a9e762ab6388b8c5d0f113d43f1ac437,"['5Rzxqve16s61lHAkSMFN8Y', '5cnBwDK9WO3m08rQNa2N7z', '5Sz09kaSzvpTC8lgm5W8Mt', '76ICmoJ4PcoMWoooaTxnQs', '3gUCItTH8V46dqOGa6iqEF', '2lQVU5JTZrgsXkL7mf1mdR', '7oc5VOBOnxQnYEvdtPByFl', '071yhZlNAtttX1Y5oNLSXq', '5qWSWfdX6NciFEyn3Y2723', '6njEzQA2BQOfTZEVs3LGvU', '1eiLumTiwSgCTclBoEWtcj', '6vcF9napv3kwm8rSb4O2si', '40L8MWZPJ1imFgv5S3atRY', '7dpS2GDIaM6POI7IKaFDQp', '6nCalEUCtZtvC2LaqbwwES', '4h5KOQfQ2SHAWyEteeOgCP', '3VieFgsd5yn7WH3hRKI127', '1RSMzGsz5YE5U887iPXgYO', '4qYHnP5AmKzXbJhciPV8si', '6AEaiHXFPOncWxkoKmb5dB', '1KwEQuF686JPeGIgjyxDiy', '5sAwWI6P48R5MTrS2GUG29', '2USPHdk6yeyJ8K3QltMPka', '7LB2A2N0MnihmOwgb5umkE', '0I2ELF6uHlL4ABu9aFiou7', '1mqxwaCFlGMzeSVmj0Zyi7', '4lzTyLYXb3ED01TSLCJ1Hz', '1JNTs6DgzG6qn0YYHwpx6U', '4TBBPZks71c60whhq0PgdP', '1MMp1H2Kib2BCDtdL5nL63', '0WVTQp3SOCuMr08jh1jweV', '6QAbYi4pquaS5IAKH9ZfJL', '7qll2h5nPIPytmGqIDRDmZ', '0WoOHWp82bWaFBwrox1oGA', '13t4VV3Y9PBk0OnAAw03WT', '6Ev3WGbBVBiftMGcBV5Bhg']",5730d2b788e15285dc1fd86b
